Mon Feb 10 17:35:59 2025    profile_output.prof

         25979773 function calls (23642197 primitive calls) in 95.415 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2916    0.032    0.000    0.160    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/scipy/sparse/_coo.py:202(_check)
    15088    0.031    0.000    0.111    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:433(broadcast_shapes)
     7704    0.031    0.000    0.113    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/expressions/expression.py:583(broadcast)
     2205    0.031    0.000    0.493    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
58701/57984    0.031    0.000    0.126    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/results.py:176(__init__)
    75714    0.031    0.000    0.106    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/util.py:109(get)
     6195    0.031    0.000    0.054    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/font_manager.py:1586(get_font)
      263    0.030    0.000    0.097    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/artist.py:1433(get_aliases)
   104275    0.030    0.000    0.031    0.000 {built-in method builtins.min}
    25533    0.030    0.000    0.117    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/cbook.py:871(get_siblings)
      792    0.030    0.000    0.125    0.000 {built-in method builtins.print}
     3206    0.029    0.000    0.133    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    56219    0.029    0.000    0.048    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:339(iterable)
     9142    0.029    0.000    0.072    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/_mathtext.py:347(_get_font)
    24890    0.029    0.000    0.161    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3190(min)
     3001    0.029    0.000    0.029    0.000 {method 'sub' of 're.Pattern' objects}
      324    0.028    0.000    0.057    0.000 /home/koova22/QSD/flow/plots.py:19(compute_event_probabilities)
      440    0.028    0.000    0.028    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     3124    0.028    0.000    0.041    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_shape_base_impl.py:621(column_stack)
    19220    0.028    0.000    0.028    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/getlimits.py:697(__init__)
    28768    0.028    0.000    0.087    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/font_manager.py:1251(score_weight)
 2177/456    0.028    0.000    0.071    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:512(_parse)
    29438    0.027    0.000    0.166    0.000 {method 'min' of 'numpy.ndarray' objects}
2916/1980    0.027    0.000    0.339    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/scipy/sparse/_coo.py:30(__init__)
     2598    0.027    0.000    0.241    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/text.py:157(_reset_visual_defaults)
     6888    0.027    0.000    0.164    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/axis.py:467(update_position)
    25250    0.027    0.000    0.143    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3052(max)
4727/1220    0.026    0.000    0.233    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/copy.py:217(_deepcopy_dict)
    23317    0.026    0.000    0.143    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/artist.py:102(_stale_axes_callback)
    41272    0.026    0.000    0.030    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/core.py:787(preParse)
    33473    0.026    0.000    0.043    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/enum.py:726(__call__)
    24288    0.026    0.000    0.096    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:155(invalidate)
    34425    0.026    0.000    0.135    0.000 {method 'max' of 'numpy.ndarray' objects}
     6192    0.025    0.000    0.215    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/expressions/constants/constant.py:44(__init__)
26028/468    0.025    0.000    0.509    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/canonical.py:36(canonical_form)
     2555    0.025    0.000    0.035    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:340(_broadcast_to)
31082/28653    0.025    0.000    0.322    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/contextlib.py:132(__enter__)
    25956    0.025    0.000    0.044    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/expressions/expression.py:502(is_scalar)
22296/20434    0.025    0.000    2.130    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    11843    0.025    0.000    0.067    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/text.py:1292(_preprocess_math)
    25610    0.025    0.000    0.350    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/font_manager.py:961(copy)
     1314    0.024    0.000    0.024    0.000 {method 'findall' of 're.Pattern' objects}
      591    0.024    0.000    0.024    0.000 {built-in method builtins.dir}
   121631    0.024    0.000    0.024    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/artist.py:292(axes)
