Wed Feb  5 16:03:07 2025    profile_output.prof

         81890 function calls (79883 primitive calls) in 0.157 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      358    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      106    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/__init__.py:164(match)
      102    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       18    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1675(_array_str_implementation)
       10    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     28/8    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:37(_compile)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       18    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/arrayprint.py:540(wrapper)
        1    0.000    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_polynomial_impl.py:1(<module>)
     1707    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/platform.py:1(<module>)
     1023    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       18    0.001    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1668(_guarded_repr_or_str)
        1    0.000    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_nanfunctions_impl.py:1(<module>)
       39    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:361(_flatten_literal_params)
        1    0.000    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:1(<module>)
     1539    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        3    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/warnings.py:133(filterwarnings)
       91    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/stride_tricks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1(<module>)
       10    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
2312/2283    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     1768    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      182    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       91    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      358    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
